"Gene.stable.ID","Gene.name"
"ENSMUSG00000099409","Gm28751"
"ENSMUSG00000099522","Gm28752"
"ENSMUSG00000100938","Gm28726"
"ENSMUSG00000101950","Gm29267"
"ENSMUSG00000099441","Gm29268"
"ENSMUSG00000100411","Gm29269"
"ENSMUSG00000100449","Gm28757"
"ENSMUSG00000100970","Gm29270"
"ENSMUSG00000099642","Gm28348"
"ENSMUSG00000101354","Gm28973"
"ENSMUSG00000101204","Gm29271"
"ENSMUSG00000101835","Gm21734"
"ENSMUSG00000102127","Gm28972"
"ENSMUSG00000099362","Gm28970"
"ENSMUSG00000099921","Gm28971"
"ENSMUSG00002076147","Gm54345"
"ENSMUSG00000095650","Gm20854"
"ENSMUSG00000099477","Gm28349"
"ENSMUSG00000102092","Gm21892"
"ENSMUSG00000101989","Gm28346"
"ENSMUSG00000100288","Gm28345"
"ENSMUSG00000099341","Gm29090"
"ENSMUSG00000101282","Gm28152"
"ENSMUSG00002075299","Gm54346"
"ENSMUSG00000101346","Gm29505"
"ENSMUSG00000102061","Gm28823"
"ENSMUSG00000100541","Gm28871"
"ENSMUSG00000101961","Gm28220"
"ENSMUSG00000099367","Gm29512"
"ENSMUSG00000099666","Gm29511"
"ENSMUSG00000100240","Gm20820"
"ENSMUSG00000101347","Gm28219"
"ENSMUSG00000099824","Gm28218"
"ENSMUSG00000101263","Gm29121"
"ENSMUSG00002076549","Gm54347"
"ENSMUSG00000099986","Gm29120"
"ENSMUSG00000100118","Gm29117"
"ENSMUSG00000100854","Gm28057"
"ENSMUSG00000101092","Gm21796"
"ENSMUSG00000100817","Gm29302"
"ENSMUSG00000102122","Gm20883"
"ENSMUSG00000099513","Gm29119"
"ENSMUSG00000101552","Gm29118"
"ENSMUSG00000102110","Gm28440"
"ENSMUSG00000100973","Gm29299"
"ENSMUSG00000100388","Gm29116"
"ENSMUSG00000099588","Gm29298"
"ENSMUSG00000100028","Gm29092"
"ENSMUSG00000100350","Gm29091"
"ENSMUSG00000099867","Gm29320"
"ENSMUSG00000100887","Gm29297"
"ENSMUSG00000100773","Gm28366"
"ENSMUSG00000100365","Gm29319"
"ENSMUSG00000099985","Gm28317"
"ENSMUSG00000099916","Gm28318"
"ENSMUSG00000099613","Gm28313"
"ENSMUSG00000101557","Gm28314"
"ENSMUSG00000101222","Gm28315"
"ENSMUSG00000101902","Gm29115"
"ENSMUSG00000100787","Gm28316"
"ENSMUSG00000101002","Gm28944"
"ENSMUSG00000099856","Gm20906"
"ENSMUSG00000101019","Gm28943"
"ENSMUSG00000101241","Gm29111"
"ENSMUSG00000101684","Gm28946"
"ENSMUSG00000100695","Gm28110"
"ENSMUSG00000100820","Gm28945"
"ENSMUSG00000101866","Gm28109"
"ENSMUSG00000101931","Gm28108"
"ENSMUSG00000101646","Gm28106"
"ENSMUSG00000100947","Gm28949"
"ENSMUSG00000100461","Gm28948"
"ENSMUSG00000100746","Gm28716"
"ENSMUSG00000099675","Gm28717"
"ENSMUSG00000101770","Gm28718"
"ENSMUSG00000100248","Gm28950"
"ENSMUSG00000099643","Gm29162"
"ENSMUSG00000100996","Gm29169"
"ENSMUSG00000099777","Gm21777"
"ENSMUSG00000100930","Gm28866"
"ENSMUSG00000099559","Gm29063"
"ENSMUSG00000099637","Gm28737"
"ENSMUSG00000100440","Gm28405"
"ENSMUSG00000099565","Gm28738"
"ENSMUSG00000099649","Gm28406"
"ENSMUSG00000100391","Gm28978"
"ENSMUSG00000101984","Gm29436"
"ENSMUSG00000099494","Gm28197"
"ENSMUSG00000100637","Gm20819"
"ENSMUSG00000101850","Gm29437"
"ENSMUSG00000099745","Gm28736"
"ENSMUSG00000099436","Gm28977"
"ENSMUSG00000101883","Gm21840"
"ENSMUSG00000100067","Gm28407"
"ENSMUSG00000102022","Gm28735"
"ENSMUSG00000101497","Gm29391"
"ENSMUSG00000101694","Gm29392"
"ENSMUSG00000100492","Gm28672"
"ENSMUSG00000099725","Gm28734"
"ENSMUSG00000100853","Gm28232"
"ENSMUSG00000099982","Gm28670"
"ENSMUSG00000099506","Gm28732"
"ENSMUSG00000101402","Gm28673"
"ENSMUSG00000100584","Gm28733"
"ENSMUSG00000100574","Gm28674"
"ENSMUSG00000101570","Gm28233"
"ENSMUSG00000101885","Gm28235"
"ENSMUSG00000100095","Gm28234"
"ENSMUSG00000102011","Gm28930"
"ENSMUSG00000099654","Gm28236"
"ENSMUSG00000100533","Gm29504"
"ENSMUSG00000094729","Gm20747"
"ENSMUSG00000100332","Gm29250"
"ENSMUSG00000100678","Gm29251"
"ENSMUSG00000101547","Gm29252"
"ENSMUSG00000100401","Gm29248"
"ENSMUSG00000101367","Gm29484"
"ENSMUSG00000100778","Gm28908"
"ENSMUSG00000100835","Gm28907"
"ENSMUSG00000100045","Gm20929"
"ENSMUSG00000101018","Gm28910"
"ENSMUSG00000101178","Gm28909"
"ENSMUSG00000101566","Gm28276"
"ENSMUSG00000101190","Gm28274"
"ENSMUSG00000099942","Gm28275"
"ENSMUSG00000101368","Gm28290"
"ENSMUSG00000099682","Gm28292"
"ENSMUSG00000100227","Gm28291"
"ENSMUSG00000099456","Gm28293"
"ENSMUSG00000101783","Gm28698"
"ENSMUSG00000100089","Gm29305"
"ENSMUSG00000101542","Gm29303"
"ENSMUSG00000099509","Gm29307"
"ENSMUSG00000100424","Gm29557"
"ENSMUSG00002076770","Gm54348"
"ENSMUSG00000101534","Gm29306"
"ENSMUSG00000100184","Gm29558"
"ENSMUSG00000101967","Gm29555"
"ENSMUSG00000101723","Gm28355"
"ENSMUSG00000102056","Gm28354"
"ENSMUSG00000099442","Gm28352"
"ENSMUSG00000101148","Gm28200"
"ENSMUSG00000101580","Gm28201"
"ENSMUSG00000100054","Gm28202"
"ENSMUSG00000100889","Gm28204"
"ENSMUSG00000099607","Gm28205"
"ENSMUSG00000100242","Gm28206"
"ENSMUSG00000100167","Gm28207"
"ENSMUSG00000100144","Gm28208"
"ENSMUSG00000101045","Gm29224"
"ENSMUSG00000101021","Gm29222"
"ENSMUSG00000099485","Gm29221"
"ENSMUSG00000099548","Gm29220"
"ENSMUSG00000101891","Gm29132"
"ENSMUSG00000100238","Gm21450"
"ENSMUSG00000101103","Gm21843"
"ENSMUSG00000099866","Gm28889"
"ENSMUSG00000101910","Gm28691"
"ENSMUSG00000100579","Gm28692"
